station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
0CO,9/1/2023 19:55,51.8,30.2,43.32,0,0,0,30.7,,10,,SCT,OVC,,,7500,10000,,,,,,,,,,51.8,K0CO 020155Z AUTO 00000KT 10SM SCT075 OVC100 11/M01 A3070 RMK AO2,
0CO,9/1/2023 20:15,51.8,30.2,43.32,160,5,0,30.7,,10,18,BKN,OVC,,,7500,9000,,,,,,,,,,51.8,K0CO 020215Z AUTO 16005G18KT 10SM BKN075 OVC090 11/M01 A3070 RMK AO2,
0CO,9/1/2023 20:35,51.8,32,46.59,0,0,0,30.72,,10,,OVC,,,,7500,,,,,,,,,,,51.8,K0CO 020235Z AUTO 00000KT 10SM OVC075 11/00 A3072 RMK AO2,
0CO,9/1/2023 20:55,51.8,30.2,43.32,170,13,0,30.72,,10,17,BKN,OVC,,,6500,8000,,,,,,,,,,51.8,K0CO 020255Z AUTO 17013G17KT 10SM BKN065 OVC080 11/M01 A3072 RMK AO2,
0CO,9/1/2023 21:15,51.8,28.4,40.25,210,3,0,30.71,,10,,OVC,,,,8000,,,,,,,,,,,51.8,K0CO 020315Z AUTO 21003KT 10SM OVC080 11/M02 A3071 RMK AO2,
0CO,9/1/2023 21:35,51.8,30.2,43.32,240,6,0,30.72,,10,,BKN,OVC,,,9000,11000,,,,,,,,,,51.8,K0CO 020335Z AUTO 24006KT 10SM BKN090 OVC110 11/M01 A3072 RMK AO2,
0CO,9/1/2023 21:55,50,32,49.81,10,5,0,30.72,,10,,SCT,BKN,,,7500,10000,,,,,,,,,,50,K0CO 020355Z AUTO 01005KT 10SM SCT075 BKN100 10/00 A3072 RMK AO2,
0CO,9/1/2023 22:15,48.2,32,53.27,300,7,0,30.72,,10,,BKN,,,,10000,,,,,,,,,,,44.53,K0CO 020415Z AUTO 30007KT 10SM BKN100 09/00 A3072 RMK AO2,
0CO,9/1/2023 22:35,46.4,32,57,350,5,0,30.72,,10,,SCT,,,,10000,,,,,,,,,,,43.5,K0CO 020435Z AUTO 35005KT 10SM SCT100 08/00 A3072 RMK AO2,
0CO,9/1/2023 22:55,46.4,32,57,360,6,0,30.72,,10,,CLR,,,,,,,,,,,,,,,42.87,K0CO 020455Z AUTO 36006KT 10SM CLR 08/00 A3072 RMK AO2,
0CO,9/1/2023 23:15,48.2,32,53.27,320,6,0,30.72,,10,,CLR,,,,,,,,,,,,,,,45.04,K0CO 020515Z AUTO 32006KT 10SM CLR 09/00 A3072 RMK AO2,
0CO,9/1/2023 23:35,50,30.2,46.31,0,0,0,30.72,,10,,SCT,,,,7000,,,,,,,,,,,50,K0CO 020535Z AUTO 00000KT 10SM SCT070 10/M01 A3072 RMK AO2,
0CO,9/1/2023 23:55,50,30.2,46.31,0,0,0,30.73,,10,,SCT,,,,7000,,,,,,,,,,,50,K0CO 020555Z AUTO 00000KT 10SM SCT070 10/M01 A3073 RMK AO2,
0CO,9/2/2023 0:15,50,30.2,46.31,240,3,0,30.73,,10,,CLR,,,,,,,,,,,,,,,50,K0CO 020615Z AUTO 24003KT 10SM CLR 10/M01 A3073 RMK AO2,
0CO,9/2/2023 0:35,50,30.2,46.31,0,0,0,30.73,,10,,CLR,,,,,,,,,,,,,,,50,K0CO 020635Z AUTO 00000KT 10SM CLR 10/M01 A3073 RMK AO2,
0CO,9/2/2023 0:55,50,30.2,46.31,220,3,0,30.72,,10,,CLR,,,,,,,,,,,,,,,50,K0CO 020655Z AUTO 22003KT 10SM CLR 10/M01 A3072 RMK AO2,
0CO,9/2/2023 1:15,50,30.2,46.31,250,9,0,30.72,,10,,CLR,,,,,,,,,,,,,,,50,K0CO 020715Z AUTO 25009KT 10SM CLR 10/M01 A3072 RMK AO2,
0CO,9/2/2023 1:35,50,30.2,46.31,250,9,0,30.73,,10,,CLR,,,,,,,,,,,,,,,50,K0CO 020735Z AUTO 25009KT 10SM CLR 10/M01 A3073 RMK AO2,
0CO,9/2/2023 1:55,50,30.2,46.31,230,3,0,30.72,,10,,CLR,,,,,,,,,,,,,,,50,K0CO 020755Z AUTO 23003KT 10SM CLR 10/M01 A3072 RMK AO2,
0CO,9/2/2023 2:15,50,30.2,46.31,190,3,0,30.72,,10,,CLR,,,,,,,,,,,,,,,50,K0CO 020815Z AUTO 19003KT 10SM CLR 10/M01 A3072 RMK AO2,
0CO,9/2/2023 2:35,50,30.2,46.31,200,4,0,30.73,,10,,CLR,,,,,,,,,,,,,,,50,K0CO 020835Z AUTO 20004KT 10SM CLR 10/M01 A3073 RMK AO2,
0CO,9/2/2023 2:55,48.2,30.2,49.53,240,11,0,30.72,,10,15,CLR,,,,,,,,,,,,,,,42.94,K0CO 020855Z AUTO 24011G15KT 10SM CLR 09/M01 A3072 RMK AO2,
